subj	cond	item	value	region	Xstart	Xend	Ystart	Yend	fixationtype	order	questionRT	questionAcc
013	21	76	0	1	0	18	0	0	rr	57	NA	NA
013	21	76	346	1	0	18	0	0	tt	57	NA	NA
013	21	76	NA	2	18	24	0	0	ff	57	NA	NA
013	21	76	NA	2	18	24	0	0	fp	57	NA	NA
013	21	76	NA	2	18	24	0	0	rp	57	NA	NA
013	21	76	NA	2	18	24	0	0	pr	57	NA	NA
013	21	76	NA	2	18	24	0	0	rr	57	NA	NA
013	21	76	NA	2	18	24	0	0	tt	57	NA	NA
013	21	76	220	3	24	60	0	0	ff	57	NA	NA
013	21	76	1114	3	24	60	0	0	fp	57	NA	NA
013	21	76	1114	3	24	60	0	0	rp	57	NA	NA
013	21	76	0	3	24	60	0	0	pr	57	NA	NA
013	21	76	0	3	24	60	0	0	rr	57	NA	NA
013	21	76	1114	3	24	60	0	0	tt	57	NA	NA
013	21	88	434	1	0	18	0	0	ff	69	NA	NA
013	21	88	802	1	0	18	0	0	fp	69	NA	NA
013	21	88	802	1	0	18	0	0	rp	69	NA	NA
013	21	88	0	1	0	18	0	0	pr	69	NA	NA
013	21	88	0	1	0	18	0	0	rr	69	NA	NA
013	21	88	802	1	0	18	0	0	tt	69	NA	NA
013	21	88	NA	2	18	23	0	0	ff	69	NA	NA
013	21	88	NA	2	18	23	0	0	fp	69	NA	NA
013	21	88	NA	2	18	23	0	0	rp	69	NA	NA
013	21	88	NA	2	18	23	0	0	pr	69	NA	NA
013	21	88	136	2	18	23	0	0	rr	69	NA	NA
013	21	88	136	2	18	23	0	0	tt	69	NA	NA
013	21	88	204	3	23	49	0	0	ff	69	NA	NA
013	21	88	696	3	23	49	0	0	fp	69	NA	NA
013	21	88	1684	3	23	49	0	0	rp	69	NA	NA
013	21	88	1	3	23	49	0	0	pr	69	NA	NA
013	21	88	610	3	23	49	0	0	rr	69	NA	NA
013	21	88	1306	3	23	49	0	0	tt	69	NA	NA
013	23	78	328	1	0	17	0	0	ff	71	NA	NA
013	23	78	916	1	0	17	0	0	fp	71	NA	NA
013	23	78	916	1	0	17	0	0	rp	71	NA	NA
013	23	78	0	1	0	17	0	0	pr	71	NA	NA
013	23	78	0	1	0	17	0	0	rr	71	NA	NA
013	23	78	916	1	0	17	0	0	tt	71	NA	NA
013	23	78	268	2	17	22	0	0	ff	71	NA	NA
013	23	78	268	2	17	22	0	0	fp	71	NA	NA
013	23	78	268	2	17	22	0	0	rp	71	NA	NA
013	23	78	0	2	17	22	0	0	pr	71	NA	NA
013	23	78	0	2	17	22	0	0	rr	71	NA	NA
013	23	78	268	2	17	22	0	0	tt	71	NA	NA
013	23	78	264	3	22	49	0	0	ff	71	NA	NA
013	23	78	862	3	22	49	0	0	fp	71	NA	NA
013	23	78	862	3	22	49	0	0	rp	71	NA	NA
013	23	78	0	3	22	49	0	0	pr	71	NA	NA
013	23	78	0	3	22	49	0	0	rr	71	NA	NA
013	23	78	862	3	22	49	0	0	tt	71	NA	NA
013	21	80	460	1	0	14	0	0	ff	77	NA	NA
013	21	80	460	1	0	14	0	0	fp	77	NA	NA
013	21	80	460	1	0	14	0	0	rp	77	NA	NA
013	21	80	0	1	0	14	0	0	pr	77	NA	NA
013	21	80	0	1	0	14	0	0	rr	77	NA	NA
013	21	80	460	1	0	14	0	0	tt	77	NA	NA
013	21	80	222	2	14	20	0	0	ff	77	NA	NA
013	21	80	222	2	14	20	0	0	fp	77	NA	NA
013	21	80	222	2	14	20	0	0	rp	77	NA	NA
013	21	80	0	2	14	20	0	0	pr	77	NA	NA
